KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis,attempt
1.91,-6.61,0.38,9.87,0.99,0.0,0.0,10.0,0,0,0.0,29042,1
1.91,-6.53,0.21,9.78,0.69,0.0,0.0,10.0,0,0,0.0,29250,1
1.98,-6.57,0.28,9.89,1.14,0.0,0.0,10.0,0,0,0.0,29462,1
1.96,-6.64,0.22,9.85,1.05,0.0,0.0,10.0,0,0,0.0,29671,1
1.99,-6.68,0.2,9.9,1.02,0.0,0.0,10.0,0,0,9.16,29878,1
1.95,-6.86,0.15,9.84,1.65,0.0,0.0,10.0,0,0,13.73,30085,1
2.01,-6.79,0.25,9.87,0.69,0.0,0.0,10.0,0,0,16.78,30295,1
1.99,-6.45,0.41,9.92,0.93,0.0,0.0,10.0,0,0,199.89,30503,1
2.0,-6.62,0.56,9.9,1.51,0.0,0.0,10.0,0,0,289.92,30711,1
1.98,-6.47,0.37,9.86,0.52,0.0,0.0,10.0,0,99,514.22,30919,1
2.0,-6.59,0.7,9.84,1.36,0.0,0.0,10.0,0,99,946.04,31127,1
1.98,-6.72,0.62,9.86,1.29,0.0,0.0,10.0,0,99,1383.97,31334,1
2.01,-6.6,0.22,9.83,0.44,0.0,0.0,10.0,0,99,1828.0,31541,1
1.99,-6.6,0.33,9.89,0.85,0.0,0.0,10.0,0,99,2610.78,31751,1
2.04,-6.71,0.2,9.95,1.38,0.0,0.0,10.0,0,99,3199.77,31959,1
2.01,-6.93,0.28,9.82,1.92,0.0,0.0,10.0,0,99,5720.52,32167,1
2.02,-6.85,0.26,9.82,0.58,0.0,0.0,10.0,0,99,6251.53,32375,1
2.01,-6.9,0.66,9.95,1.14,0.0,0.0,10.0,0,99,6710.82,32582,1
1.98,-6.96,0.52,9.92,1.08,0.0,0.0,10.0,0,99,14286.8,32790,1
1.98,-7.15,0.68,9.97,1.72,0.0,0.0,10.0,0,99,14778.14,32998,1
1.95,-7.11,0.52,9.77,0.69,0.0,0.0,10.0,0,99,5969.24,33213,1
1.94,-7.47,0.16,9.87,2.57,0.0,0.0,10.0,0,99,8901.98,33420,1
1.94,-7.49,0.32,9.88,1.0,0.0,0.0,10.0,0,99,7695.01,33628,1
1.93,-7.49,0.32,9.86,0.92,0.0,0.0,10.0,0,99,11997.99,33836,1
1.97,-7.54,0.24,9.83,0.78,0.0,0.0,10.0,0,99,10134.89,34044,1
2.01,-7.34,0.17,9.83,0.62,0.0,0.0,10.0,0,99,11074.83,34252,1
2.02,-7.27,0.2,9.88,0.61,0.0,0.0,10.0,0,99,11814.88,34460,1
2.02,-7.3,0.35,9.9,0.97,0.0,0.0,10.0,0,99,14590.45,34668,1
2.0,-7.26,0.28,9.87,0.71,0.0,0.0,10.0,0,99,14758.3,34878,1
2.01,-7.3,0.25,9.86,1.06,0.0,0.0,10.0,0,99,14601.14,35086,1
2.01,-7.35,0.35,9.9,1.13,0.0,0.0,10.0,0,99,14543.15,35294,1
2.02,-7.4,0.22,9.92,1.12,0.0,0.0,10.0,0,99,14807.13,35502,1
2.03,-7.43,0.24,9.81,1.26,0.0,0.0,10.0,0,99,14601.14,35710,1
2.09,-7.49,0.46,9.88,1.25,0.0,0.0,10.0,0,99,14547.73,35918,1
2.04,-7.52,0.39,9.85,0.99,0.0,0.0,10.0,0,99,14515.69,36126,1
1.99,-7.46,0.34,9.84,0.53,0.0,0.0,10.0,0,99,14556.88,36336,1
2.01,-7.4,0.43,9.86,0.61,0.0,0.0,10.0,0,99,14591.98,36544,1
2.01,-7.54,0.42,9.97,1.55,0.0,0.0,10.0,0,99,11537.17,36756,1
1.99,-7.48,0.36,9.86,0.71,0.0,0.0,10.0,0,99,14785.77,36963,1
1.98,-7.55,0.24,9.82,1.2,0.0,0.0,10.0,0,99,14633.18,37170,1
1.99,-7.48,0.23,9.88,0.71,0.0,0.0,10.0,0,99,13629.15,37378,1
1.98,-7.21,0.23,9.87,0.59,0.0,0.0,10.0,0,99,14816.28,37585,1
1.92,-7.28,0.35,9.84,1.24,0.0,0.0,10.0,0,99,14744.57,37795,1
1.96,-6.99,0.19,9.91,0.87,0.0,0.0,10.0,0,99,14726.26,38002,1
2.0,-6.7,0.19,9.91,0.87,0.0,0.0,10.0,0,99,14715.58,38210,1
2.08,-6.7,0.25,9.89,0.97,0.0,0.0,10.0,0,99,13299.56,38417,1
2.12,-6.69,0.2,9.93,0.81,0.0,0.0,10.0,0,99,13540.65,38624,1
2.15,-6.53,0.31,9.9,0.51,0.0,0.0,10.0,0,99,13793.95,38831,1
2.15,-6.58,0.4,9.75,1.0,0.0,0.0,10.0,0,99,14553.83,39040,1
2.12,-7.01,0.76,9.96,2.78,0.0,0.0,10.0,0,99,14624.02,39250,1
2.14,-7.18,0.65,9.83,1.6,0.0,0.0,10.0,0,99,14613.34,39458,1
2.13,-7.28,0.35,9.94,1.27,0.0,0.0,10.0,0,99,14620.97,39666,1
2.11,-7.25,0.16,9.92,0.69,0.0,0.0,10.0,0,99,14625.55,39874,1
2.11,-7.33,0.51,9.97,1.28,0.0,0.0,10.0,0,99,14587.4,40082,1
2.11,-7.58,0.12,9.88,2.03,0.0,0.0,10.0,0,99,14611.82,40290,1
2.13,-7.63,0.26,9.85,1.27,0.0,0.0,10.0,0,99,14788.82,40502,1
2.12,-7.63,0.2,9.88,0.81,0.0,0.0,10.0,0,99,14833.07,40711,1
2.16,-7.63,0.28,9.83,0.93,0.0,0.0,10.0,0,99,14724.73,40919,1
2.18,-7.66,0.39,9.91,1.05,0.0,0.0,10.0,0,99,14697.27,41126,1
2.19,-7.6,0.22,9.92,0.69,0.0,0.0,10.0,0,99,14518.74,41333,1
2.13,-7.49,0.45,9.86,0.37,0.0,0.0,10.0,0,99,14329.53,41540,1
2.14,-7.28,0.21,9.92,0.45,0.0,0.0,10.0,0,99,13119.51,41747,1
2.12,-7.35,0.42,9.85,1.15,0.0,0.0,10.0,0,99,13104.25,41955,1
2.17,-7.37,0.27,9.85,1.01,0.0,0.0,10.0,0,99,13087.46,42165,1
2.19,-7.35,0.27,9.88,0.82,0.0,0.0,10.0,0,99,14639.28,42372,1
2.2,-7.3,0.27,9.86,0.77,0.0,0.0,10.0,0,99,14625.55,42579,1
2.24,-7.25,0.18,9.96,0.69,0.0,0.0,10.0,0,99,12799.07,42786,1
2.24,-7.18,0.21,9.91,0.59,0.0,0.0,10.0,0,99,13433.84,42994,1
2.25,-7.31,0.44,9.97,1.41,0.0,0.0,10.0,0,99,14614.87,43202,1
2.25,-7.19,0.3,9.78,0.59,0.0,0.0,10.0,0,99,14617.92,43410,1
2.22,-7.28,0.35,9.95,1.28,0.0,0.0,10.0,0,99,14585.88,43620,1
2.2,-7.3,0.22,9.96,1.08,0.0,0.0,10.0,0,99,14666.75,43828,1
2.22,-7.23,0.2,9.85,0.83,0.0,0.0,10.0,0,99,14677.43,44040,1
2.21,-7.36,0.54,9.93,1.41,0.0,0.0,10.0,0,99,14636.23,44248,1
2.15,-7.39,0.29,9.94,1.01,0.0,0.0,10.0,0,99,14631.65,44456,1
2.12,-7.6,0.68,9.86,1.86,0.0,0.0,10.0,0,99,14500.43,44664,1
2.1,-7.57,0.33,9.95,0.87,0.0,0.0,10.0,0,99,14585.88,44871,1
2.12,-7.47,0.16,9.91,0.6,0.0,0.0,10.0,0,99,14703.37,45081,1
