KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.66,-9.89,0.70,9.84,0.82,-6.910295,107.675446,0.07,12,0,6.10,652690
6.66,-9.88,0.62,9.87,0.70,-6.910295,107.675446,0.09,12,0,9.16,652897
6.68,-9.87,0.68,9.85,0.75,-6.910295,107.675446,0.19,12,0,0.00,653104
6.67,-9.87,0.71,9.86,0.71,-6.910295,107.675446,0.19,12,0,7.63,653313
6.67,-9.87,0.66,9.78,0.76,-6.910295,107.675446,0.09,12,0,7.63,653519
6.65,-9.88,0.64,9.83,0.82,-6.910295,107.675446,0.22,12,0,9.16,653729
6.70,-9.88,0.70,9.83,0.87,-6.910295,107.675446,0.30,12,0,7.63,653936
6.71,-9.86,0.66,9.88,0.79,-6.910295,107.675446,0.26,12,0,7.63,654143
6.72,-9.91,0.69,9.86,0.99,-6.910295,107.675446,0.26,12,0,9.16,654350
6.72,-9.92,0.71,9.87,0.81,-6.910295,107.675446,0.20,12,0,7.63,654558
6.72,-9.90,0.66,9.88,0.64,-6.910295,107.675446,0.33,12,0,9.16,654765
6.72,-9.93,0.68,9.87,0.86,-6.910295,107.675446,0.02,12,0,9.16,654972
6.72,-9.91,0.73,9.78,0.74,-6.910295,107.675446,0.11,12,0,9.16,655182
6.74,-9.90,0.67,9.82,0.76,-6.910295,107.675446,0.19,12,0,9.16,655389
6.75,-9.88,0.62,9.85,0.80,-6.910295,107.675446,0.09,12,0,0.00,655596
6.77,-9.91,0.66,9.83,0.91,-6.910296,107.675446,0.19,12,0,7.63,655803
6.82,-9.92,0.69,9.85,0.94,-6.910296,107.675446,0.19,12,0,6.10,656010
6.81,-9.91,0.66,9.85,0.73,-6.910296,107.675446,0.19,12,0,6.10,656217
6.78,-9.89,0.67,9.87,0.57,-6.910296,107.675446,0.30,12,0,0.00,656424
6.79,-9.87,0.56,9.89,0.76,-6.910297,107.675446,0.09,12,0,7.63,656633
