KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis,attempt
41.89,-83.01,17.02,22.03,13.09,-6.910308,107.6754,0.69,12,0,9.16,110190,2,,,,,,,,,,,,
40.7,-83.1,17.4,22.54,8.23,-6.910308,107.6754,0.61,12,0,10.68,110405,2,,,,,,,,,,,,
39.69,-84.1,17.38,22.35,10.76,-6.910308,107.6754,0.61,12,0,9.16,110613,2,,,,,,,,,,,,
38.84,-86.3,16.86,22.25,16.29,-6.910308,107.6754,0.61,12,0,9.16,110821,2,,,,,,,,,,,,
37.35,-88.13,16.99,22.19,15.58,-6.910308,107.675407,0.59,12,0,9.16,111029,2,,,,,,,,,,,,
35.96,-89.14,17.49,22.77,13.69,-6.910308,107.675407,0.65,12,0,9.16,111237,2,,,,,,,,,,,,
34.92,-89.91,17.03,22.13,11.97,-6.910309,107.675407,0.63,12,0,7.63,111444,2,,,,,,,,,,,,
33.54,-90.63,16.83,22.28,12.96,-6.910309,107.675407,0.2,12,0,9.16,111653,2,,,,,,,,,,,,
32.63,-90.07,16.52,21.45,11.1,-6.910309,107.675407,0.35,12,0,9.16,111861,2,,,,,,,,,,,,
32.24,-88.91,17.13,22.28,3.01,-6.910309,107.675407,0.35,12,0,9.16,112069,2,,,,,,,,,,,,
33.05,-87.59,17.46,22.8,4.09,-6.910309,107.675407,0.35,12,0,9.16,112282,2,,,,,,,,,,,,
33.55,-86.24,16.89,22.39,2.83,-6.91031,107.675407,0.24,12,0,9.16,112490,2,,,,,,,,,,,,
34.97,-84.86,16.12,21.82,6.74,-6.91031,107.675407,0.24,12,0,9.16,112698,2,,,,,,,,,,,,
36.43,-83.74,17.36,22.96,8.37,-6.91031,107.675407,0.24,12,0,9.16,112906,2,,,,,,,,,,,,
37.25,-82.57,17.25,22.48,3.98,-6.910309,107.675407,0.46,12,0,9.16,113116,2,,,,,,,,,,,,
37.81,-82.22,17.43,22.72,3.57,-6.910309,107.675407,0.44,12,0,7.63,113323,2,,,,,,,,,,,,
38.51,-77.28,22.19,26.44,19.97,-6.910309,107.675407,0.26,12,0,7.63,113531,2,,,,,,,,,,,,
38.98,-76.52,17.73,22.77,5.87,-6.910309,107.675407,0.26,12,0,9.16,113739,2,,,,,,,,,,,,
39.22,-75.86,17.66,22.9,4.41,-6.910309,107.675407,0.26,12,0,9.16,113947,2,,,,,,,,,,,,
39.72,-75.25,17.52,22.66,6.75,-6.910309,107.675407,0.11,12,0,9.16,114160,2,,,,,,,,,,,,
40.05,-74.85,17.32,22.64,4.81,-6.910309,107.675407,0.41,12,0,9.16,114368,2,,,,,,,,,,,,
40.59,-73.79,18.35,23.3,8.66,-6.910309,107.675407,0.41,12,0,9.16,114578,2,,,,,,,,,,,,
41.1,-69.41,17.41,22.64,2.21,-6.910309,107.675407,0.3,12,0,9.16,114787,2,,,,,,,,,,,,
41.26,-69.02,17.5,22.82,1.68,-6.910309,107.675407,0.17,12,0,7.63,114994,2,,,,,,,,,,,,
